mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
06140A8AXPvAibaEXe8CSUzma4ok0tGsDiSFrgHT, KHMT2016,,,,,,,,,,,,,,
0615CD35XPvAibaEXe8e/5ryJ9YpueaFgtGttatE, ANTN2014,82.0,100.0,,,,,,,,,,,,
061A670AXPvAibaEXe9fafwYRU+NpkvJumT/CzS9, ,,74.0,81.0,,,,,,,,,,,
061D03BCXPvAibaEXe91UcttbrYag6MuRitfVOUg, HTTT2018,,,,,,,,,,,,,,
0624DFA3XPvAibaEXe/PfwiDaLddEgIUBZJiTywN, MTCL2019,,,,,,,,,,,,,,
06251B58XPvAibaEXe+ywvHYTnIXuL2YQZYUxAEG, ATCL2019,,,,,,,,,,,,,,
063FA88DXPvAibaEXe+ItThaeWSaTndzLvy0hCWF, ATCL2017,,,,,,,,,,,,,,
064F9755XPvAibaEXe/GEP39G15BdU1hEsk0HGhQ, HTCL2017,,,,,,,,,,,,,,
0653BDF3XPvAibaEXe9YgNnR0JxPhVp7ceoQS10H, HTCL2018,,,,,,,,,,,,,,
067DC928XPvAibaEXe+P6Zzp7Rb5oFhystTt9hCl, ,,44.0,,,,,,,,,,,,
0691AA94XPvAibaEXe++R9hzjt1s7wndXGR/a0YH, KHMT2015,,,,,,,,,,,,,,
06942BB3XPvAibaEXe9F+oU8wuNbqO0ZSSBkHohm, KTMT2018,,,,,,,,,,,,,,
06A0EB54XPvAibaEXe/Ko3VBeq65/7o9+P9o0/JJ, KTMT2014,72.0,,,,,,,,,,,,,
06AF4558XPvAibaEXe8eJZh5OyStbMQ0oi5wpMJM, TMĐT2016,,,,,,,,,,,,,,
06B1E339XPvAibaEXe+9uXUaDIzyiCvG6Z0IL8M6, KTMT2017,,,,,,,,,,,,,,
06B78A83XPvAibaEXe+b/3AZFelvL6x33ODd3+Y5, CTTT2019.2,,,,,,,,,,,,,,
06BFA130XPvAibaEXe/+PcSgI7YkeSntP5em9h+w, ,,80.0,82.0,,,,,,,,,,,
